tdtfile,medfile,rat,date,session,include,licks,totdistractors,distracted,percentdistracted,note,endcol
,!2017-08-07_10h08m.Subject THPH2.6,thph2.6,170807,lick1,1,2501,0,0,0,,1
Kate-170807-112656,!2017-08-07_11h21m.Subject THPH2.7,thph2.7,170807,lick1,1,326,0,0,0,,1
,!2017-08-07_11h21m.Subject THPH2.8,thph2.8,170807,lick1,1,363,0,0,0,,1
Kate-170808-071546,!2017-08-08_06h58m.Subject THPH2.1,thph2.1,170808,lick2,1,4141,0,0,0,,1
,!2017-08-08_06h59m.Subject THPH2.2,thph2.2,170808,lick2,1,2074,0,0,0,,1
Kate-170808-082759,!2017-08-08_08h22m.Subject THPH2.3,thph2.3,170808,lick2,1,633,0,0,0,,1
,!2017-08-08_08h22m.Subject THPH2.4,thph2.4,170808,lick2,1,3258,0,0,0,,1
Kate-170808-103501,!2017-08-08_09h46m.Subject THPH2.5,thph2.5,170808,lick2,1,1795,0,0,0,only half recorded,1
,!2017-08-08_09h46m.Subject THPH2.6,thph2.6,170808,lick2,1,3384,0,0,0,only half recorded,1
Kate-170808-105724,!2017-08-08_10h51m.Subject THPH2.7,thph2.7,170808,lick2,1,367,0,0,0,,1
,!2017-08-08_10h51m.Subject THPH2.8,thph2.8,170808,lick2,1,25,0,0,0,,1
Kate-170809-071354,!2017-08-09_06h56m.Subject THPH2.1,thph2.1,170809,lick3,1,4884,0,0,0,,1
,!2017-08-09_06h56m.Subject THPH2.2,thph2.2,170809,lick3,1,3385,0,0,0,,1
Kate-170809-082057,!2017-08-09_08h15m.Subject THPH2.3,thph2.3,170809,lick3,1,2959,0,0,0,,1
,!2017-08-09_08h15m.Subject THPH2.4,thph2.4,170809,lick3,1,2180,0,0,0,,1
Kate-170809-092833,!2017-08-09_09h22m.Subject THPH2.5,thph2.5,170809,lick3,1,4198,0,0,0,,1
,!2017-08-09_09h22m.Subject THPH2.6,thph2.6,170809,lick3,1,4614,0,0,0,,1
Kate-170809-103545,!2017-08-09_10h28m.Subject THPH2.7,thph2.7,170809,lick3,1,25,0,0,0,,1
,!2017-08-09_10h28m.Subject THPH2.8,thph2.8,170809,lick3,1,138,0,0,0,,1
Kate-170810-072909,!2017-08-10_07h14m.Subject THPH2.1,thph2.1,170810,distraction,1,3257,57,45,78.94736842,,1
,!2017-08-10_07h14m.Subject THPH2.2,thph2.2,170810,distraction,1,2784,73,8,10.95890411,,1
Kate-170810-083815,!2017-08-10_08h31m.Subject THPH2.3,thph2.3,170810,distraction,1,1343,65,40,61.53846154,,1
,!2017-08-10_08h32m.Subject THPH2.4,thph2.4,170810,distraction,1,1740,37,10,27.02702703,,1
Kate-170810-094530,!2017-08-10_09h39m.Subject THPH2.5,thph2.5,170810,distraction,1,5134,41,24,58.53658537,,1
,!2017-08-10_09h39m.Subject THPH2.6,thph2.6,170810,distraction,1,2943,54,33,61.11111111,,1
Kate-170810-105301,!2017-08-10_10h46m.Subject THPH2.7,thph2.7,170810,lick4,1,870,0,0,0,,1
,!2017-08-10_10h46m.Subject THPH2.8,thph2.8,170810,lick4,1,220,0,0,0,,1
Kate-170811-072202,!2017-08-11_07h09m.Subject THPH2.1,thph2.1,170811,habituation,1,3482,39,12,30.76923077,,1
,!2017-08-11_07h09m.Subject THPH2.2,thph2.2,170811,habituation,1,3215,89,1,1.123595506,,1
Kate-170811-082925,!2017-08-11_08h23m.Subject THPH2.3,thph2.3,170811,habituation,1,1317,38,7,18.42105263,,1
,!2017-08-11_08h23m.Subject THPH2.4,thph2.4,170811,habituation,1,2235,32,6,18.75,,1
Kate-170811-093622,!2017-08-11_09h30m.Subject THPH2.5,thph2.5,170811,habituation,1,2797,18,5,27.77777778,,1
,!2017-08-11_09h30m.Subject THPH2.6,thph2.6,170811,habituation,1,3913,37,8,21.62162162,,1
Kate-170811-104358,!2017-08-11_10h38m.Subject THPH2.7,thph2.7,170811,lick5,1,2021,0,0,0,,1
,!2017-08-11_10h38m.Subject THPH2.8,thph2.8,170811,lick5,1,140,0,0,0,,1
Kate-170814-110336,!2017-08-14_10h52m.Subject THPH2.7,thph2.7,170814,lick6,1,4216,0,0,0,,1
,!2017-08-14_10h52m.Subject THPH2.8,thph2.8,170814,lick6,1,496,0,0,0,,1
Kate-170815-112418,Backup of Box 01 08-15-2017 11.36 Subject THPH2.7,thph2.7,170815,distraction,1,1700,,,,problem ,1
,Backup of Box 02 08-15-2017 11.36 Subject THPH2.8,thph2.8,170815,distraction,1,330,,,,problem ,1
Kate-170816-105751,!2017-08-16_10h52m.Subject THPH2.7,thph2.7,170816,habituation,1,3447,51,6,11.76470588,,1
